CaseID,ResponseType,TargetDensity,ActualDensity,DensityError,PreserveAnchors,ActualAnchorPreservation,AnchorMismatch,ComplementarityBias,ActualGapFill,GapMismatch,StructureType,EnergyProfile,VariantKind
Variant_H32_AnchorLed_Increasing,Fill,0.533333,0.291667,0.241666,False,1,1,0.65,0.571429,0.078571,AnchorLed,Increasing,Variant
Variant_H32_BackLoaded_AccentedEnding,Fill,0.533333,0.53125,0.002083,False,1,1,0.65,0.941177,0.291177,BackLoaded,AccentedEnding,Variant
Variant_H32_BackLoaded_Flat,Intensify,0.478333,0.479167,0.000833667,False,1,1,0.55,0.782609,0.232609,BackLoaded,Flat,Variant
Variant_H32_BackLoaded_Increasing,Fill,0.533333,0.53125,0.002083,False,1,1,0.65,0.921569,0.271569,BackLoaded,Increasing,Variant
Variant_H32_Clustered_AccentedEnding,Contrast,0.345833,0.260417,0.0854163,False,0,0,0.7,0.88,0.18,Clustered,AccentedEnding,Variant
Variant_H32_Clustered_Flat,Intensify,0.478333,0.4375,0.040833,False,0,0,0.55,0.5,0.05,Clustered,Flat,Variant
Variant_H32_Clustered_Increasing,Intensify,0.478333,0.4375,0.040833,False,0,0,0.55,0.547619,0.002381,Clustered,Increasing,Variant
Variant_H32_Even_AccentedEnding,Intensify,0.465833,0.46875,0.002917,False,0.5,0.5,0.5,0.844445,0.344445,Even,AccentedEnding,Variant
Variant_H32_Even_Flat,Fill,0.533333,0.53125,0.002083,False,1,1,0.65,0.941177,0.291177,Even,Flat,Variant
Variant_H32_Even_Increasing,Intensify,0.478333,0.479167,0.000833667,False,1,1,0.55,0.826087,0.276087,Even,Increasing,Variant
Variant_H32_FrontLoaded_AccentedEnding,Mirror,0.345833,0.34375,0.002083,True,1,0,0.225,0.484849,0.259849,FrontLoaded,AccentedEnding,Variant
Variant_H32_FrontLoaded_Flat,Intensify,0.478333,0.479167,0.000833667,False,1,1,0.55,0.804348,0.254348,FrontLoaded,Flat,Variant
Variant_H32_FrontLoaded_Increasing,Intensify,0.465833,0.46875,0.002917,False,1,1,0.55,0.755556,0.205556,FrontLoaded,Increasing,Variant
Variant_H36_AnchorLed_AccentedEnding,Mirror,0.375,0.375,0,True,1,0,0.25,0.361111,0.111111,AnchorLed,AccentedEnding,Variant
Variant_H36_AnchorLed_Flat,Complement,0.325,0.239583,0.0854167,True,1,0,0.75,0.826087,0.076087,AnchorLed,Flat,Variant
Variant_H36_AnchorLed_Increasing,Complement,0.325,0.260417,0.0645833,True,1,0,0.75,0.84,0.09,AnchorLed,Increasing,Variant
Variant_H36_BackLoaded_AccentedEnding,Mirror,0.375,0.375,0,True,1,0,0.25,0.361111,0.111111,BackLoaded,AccentedEnding,Variant
Variant_H36_BackLoaded_Flat,Mirror,0.375,0.375,0,True,1,0,0.25,0.416667,0.166667,BackLoaded,Flat,Variant
